,dataset,user_vector,content_vector,alg_type,CF_CB,N,rating_stdev,item_coverage,serendipity,user_coverage,pred_n,avg_mean_rank,pred_coverage,novelty,cat_diversity,avg_highest_rank,mae,avg_lowest_rank,content_serendipity,rmse,cat_coverage,ils,rmse_adj,mae_adj,users,items,ratings,rating_min,rating_max,rating_mean,density,rating_variance
70,last_fm,num_plays_log,tags,cf_user,CF,100,0.664708618,22.8561706,0.18199105,99.94714588,0.000112721,52.9047619,0.227149811,-0.451868653,0.169226047,52.9047619,0.716461449,52.9047619,0.801851595,0.868746468,0.566850873,0.932902912,3.494623908,3.519815902,1892,17632,92834,0,5.547402997,2.37498825,0.002782815,0.441837547
49,last_fm,any_interact,tags,cf_mllib,CF,100,0,4.083484574,0.322396876,100,0.019612695,34.78672694,39.28455985,-1.470436856,0.880172903,21.17924528,0.710830916,50.23584906,0.537474709,0.7380504,0.567150635,0.623579559,1.80750872,1.864662015,1892,17632,92834,1,1,1,0.002782815,0
50,last_fm,any_interact,tags,cb_vect,CB,1000,0,60.27676951,0.241233405,99.84143763,0.003514255,199.4266932,70.39112165,-1.513095812,0.475887265,62.88004484,0.392433032,410.1911435,0.591628986,0.410080539,5.662513477,0.712954247,4.257347238,4.310174206,1892,17632,92834,1,1,1,0.002782815,0
56,last_fm,any_interact,tags,cb_vect,CB,100,0,35.69646098,0.341362526,99.84143763,0.018585261,36.48939857,37.25891607,-1.502729534,0.850205338,23.4358804,0.302619915,51.13156146,0.474555108,0.310658588,0.566251348,0.52643045,5,5,1892,17632,92834,1,1,1,0.002782815,0
66,last_fm,any_interact,tags,cf_mllib,CF,1000,0,33.8362069,0.23198617,100,0.003537386,196.9199441,70.86520849,-1.462852447,0.425521078,71.25283447,0.823407151,394.0283447,0.676687354,0.846154881,5.671506352,0.835905607,1,1,1892,17632,92834,1,1,1,0.002782815,0
44,last_fm,any_interact,tags,cf_user,CF,1000,0,93.68194192,0.469086983,100,0.000272189,527.4407197,5.3765758,-1.443079654,0.176587262,507.6022727,0,547.5295455,0.819975333,0,5.671506352,0.945706751,3,3,1892,17632,92834,1,1,1,0.002782815,0
46,last_fm,any_interact,tags,cb_kmeans_1000,CB,1000,0,60.69078947,0.277857721,99.84143763,0.002258741,491.5074129,45.30761771,-1.444116826,0.286766659,324.6865942,0,658.2789855,0.67646095,0,5.662513477,0.846458978,3,3,1892,17632,92834,1,1,1,0.002782815,0
48,last_fm,any_interact,tags,cb_kmeans_100,CB,100,0,37.60208711,0.439237356,99.84143763,0.005357719,50.22301481,10.7423769,-1.416642417,0.345982988,45.66219839,0,54.71447721,0.601558602,0,0.566251348,0.725968096,3,3,1892,17632,92834,1,1,1,0.002782815,0
51,last_fm,any_interact,tags,cf_user,CF,100,0,93.67627042,0.477294126,100,0.000295858,54.72727273,0.549509751,-1.437669653,0.176519473,54.72727273,0,54.72727273,0.820592804,0,0.567150635,0.945762738,3,3,1892,17632,92834,1,1,1,0.002782815,0
60,last_fm,any_interact,tags,cf_item,CF,1000,0,93.6649274,0.437765531,100,0.000511565,485.2206897,10.05279603,-1.439070743,0.223028916,444.2262069,0,526.8303448,0.784571298,0,5.671506352,0.92653884,3,3,1892,17632,92834,1,1,1,0.002782815,0
